id,data,nome
1,2025-11-13,human trafficking
2,2025-05-28,homicide
3,2025-04-07,arson
4,2025-02-10,drug possession
5,2025-01-28,carjacking
6,2025-01-22,cybercrime
7,2025-04-29,burglary
8,2025-11-08,burglary
9,2025-06-10,domestic violence
10,2025-06-01,embezzlement
11,2025-03-23,terrorism
12,2025-01-16,assault
13,2025-10-06,money laundering
14,2025-06-03,arson
15,2025-10-04,fraud
16,2025-02-02,assault
17,2025-11-29,stalking
18,2025-09-23,assault
19,2025-10-28,kidnapping
20,2025-07-15,carjacking
21,2025-09-16,kidnapping
22,2025-11-11,trespassing
23,2025-07-10,money laundering
24,2025-03-08,robbery
25,2025-11-04,drug possession
26,2025-10-27,drug possession
27,2025-01-11,embezzlement
28,2025-04-29,burglary
29,2025-12-30,trespassing
30,2025-07-28,robbery
31,2025-06-06,burglary
32,2025-02-26,trespassing
33,2025-05-18,human trafficking
34,2025-04-23,terrorism
35,2025-07-31,domestic violence
36,2025-08-18,arson
37,2025-04-12,shoplifting
38,2025-12-01,shoplifting
39,2025-07-24,vandalism
40,2025-12-23,homicide
41,2025-01-22,stalking
42,2025-11-20,drug possession
43,2025-04-06,drug possession
44,2025-08-02,stalking
45,2025-09-28,fraud
46,2025-11-17,assault
47,2025-03-20,homicide
48,2025-04-07,domestic violence
49,2025-04-19,burglary
50,2025-02-19,vandalism
51,2025-12-15,trespassing
52,2025-09-03,terrorism
53,2025-05-01,homicide
54,2025-11-11,money laundering
55,2025-09-03,terrorism
56,2025-05-07,burglary
57,2025-04-05,fraud
58,2025-06-05,identity theft
59,2025-02-25,vandalism
60,2025-04-04,trespassing
61,2025-10-19,arson
62,2025-05-09,trespassing
63,2025-07-04,terrorism
64,2025-05-09,arson
65,2025-01-09,assault
66,2025-05-25,human trafficking
67,2025-02-23,vandalism
68,2025-04-02,arson
69,2025-10-23,cybercrime
70,2025-06-26,money laundering
71,2025-06-03,stalking
72,2025-11-06,cybercrime
73,2025-11-10,assault
74,2025-09-21,robbery
75,2025-07-30,identity theft
76,2025-10-31,burglary
77,2025-08-15,carjacking
78,2025-12-11,kidnapping
79,2025-09-30,shoplifting
80,2025-02-25,assault
81,2025-04-12,arson
82,2025-12-26,carjacking
83,2025-09-17,shoplifting
84,2025-04-19,fraud
85,2025-05-20,homicide
86,2025-02-27,terrorism
87,2025-01-20,robbery
88,2025-11-15,stalking
89,2025-12-06,homicide
90,2025-06-16,embezzlement
91,2025-09-22,robbery
92,2025-01-11,shoplifting
93,2025-10-03,fraud
94,2025-10-13,fraud
95,2025-11-21,carjacking
96,2025-11-18,fraud
97,2025-07-03,carjacking
98,2025-12-22,money laundering
99,2025-08-04,carjacking
100,2025-01-20,stalking
101,2025-08-09,carjacking
102,2025-12-13,cybercrime
103,2025-01-14,human trafficking
104,2025-09-28,burglary
105,2025-11-21,arson
106,2025-09-28,burglary
107,2025-06-07,cybercrime
108,2025-05-07,stalking
109,2025-06-29,cybercrime
110,2025-06-04,human trafficking
111,2025-12-30,kidnapping
112,2025-01-21,shoplifting
113,2025-03-06,vandalism
114,2025-05-11,carjacking
115,2025-05-12,robbery
116,2025-07-29,terrorism
117,2025-10-31,terrorism
118,2025-06-11,human trafficking
119,2025-12-30,cybercrime
120,2025-12-08,human trafficking
121,2025-05-11,money laundering
122,2025-10-28,homicide
123,2025-09-23,human trafficking
124,2025-10-02,money laundering
125,2025-10-11,domestic violence
126,2025-05-07,kidnapping
127,2025-07-05,drug possession
128,2025-07-26,domestic violence
129,2025-09-17,identity theft
130,2025-02-18,identity theft
131,2025-01-19,human trafficking
132,2025-01-07,terrorism
133,2025-06-23,robbery
134,2025-10-10,kidnapping
135,2025-07-28,arson
136,2025-04-29,robbery
137,2025-05-17,domestic violence
138,2025-03-14,stalking
139,2025-08-22,robbery
140,2025-03-30,fraud
141,2025-11-24,identity theft
142,2025-06-25,trespassing
143,2025-05-30,kidnapping
144,2025-01-12,cybercrime
145,2025-04-15,domestic violence
146,2025-05-07,kidnapping
147,2025-07-05,stalking
148,2025-01-08,homicide
149,2025-02-07,embezzlement
150,2025-11-01,arson
151,2025-10-05,stalking
152,2025-12-12,stalking
153,2025-06-09,fraud
