id,data,nome
9001,2025-07-04,kidnapping
9002,2025-04-19,human trafficking
9003,2025-02-17,embezzlement
9004,2025-12-02,carjacking
9005,2025-01-22,drug possession
9006,2025-01-19,homicide
9007,2025-07-28,assault
9008,2025-09-22,human trafficking
9009,2025-02-16,robbery
9010,2025-12-08,terrorism
9011,2025-12-22,cybercrime
9012,2025-06-11,kidnapping
9013,2025-12-02,homicide
9014,2025-10-17,terrorism
9015,2025-03-19,cybercrime
9016,2025-05-24,domestic violence
9017,2025-02-04,fraud
9018,2025-06-25,terrorism
9019,2025-05-01,homicide
9020,2025-04-04,stalking
9021,2025-03-11,kidnapping
9022,2025-12-21,burglary
9023,2025-01-22,domestic violence
9024,2025-02-25,homicide
9025,2025-08-19,homicide
9026,2025-06-14,fraud
9027,2025-03-11,fraud
9028,2025-07-18,human trafficking
9029,2025-01-08,money laundering
9030,2025-02-26,robbery
9031,2025-09-18,kidnapping
9032,2025-11-27,fraud
9033,2025-12-01,trespassing
9034,2025-12-13,fraud
9035,2025-07-07,kidnapping
9036,2025-03-18,money laundering
9037,2025-02-06,kidnapping
9038,2025-08-29,fraud
9039,2025-05-08,trespassing
9040,2025-12-17,cybercrime
9041,2025-09-26,drug possession
9042,2025-04-23,stalking
9043,2025-05-06,carjacking
9044,2025-12-25,drug possession
9045,2025-10-29,human trafficking
9046,2025-02-07,trespassing
9047,2025-05-10,trespassing
9048,2025-02-08,burglary
9049,2025-06-12,assault
9050,2025-10-20,fraud
9051,2025-02-19,drug possession
9052,2025-05-28,drug possession
9053,2025-02-22,fraud
9054,2025-04-05,drug possession
9055,2025-05-26,stalking
9056,2025-02-12,arson
9057,2025-09-20,kidnapping
9058,2025-04-27,drug possession
9059,2025-05-23,stalking
9060,2025-05-10,terrorism
9061,2025-06-01,burglary
9062,2025-11-01,cybercrime
9063,2025-08-26,money laundering
9064,2025-10-16,arson
9065,2025-08-15,homicide
9066,2025-12-16,fraud
9067,2025-06-15,carjacking
9068,2025-01-04,carjacking
9069,2025-04-24,assault
9070,2025-07-29,fraud
9071,2025-11-21,robbery
9072,2025-07-05,kidnapping
9073,2025-06-18,carjacking
9074,2025-07-05,money laundering
9075,2025-02-16,drug possession
9076,2025-01-26,carjacking
9077,2025-06-02,kidnapping
9078,2025-07-08,homicide
9079,2025-05-15,human trafficking
9080,2025-04-29,embezzlement
9081,2025-03-11,assault
9082,2025-02-16,robbery
9083,2025-01-08,embezzlement
9084,2025-06-26,trespassing
9085,2025-02-03,carjacking
9086,2025-10-28,burglary
9087,2025-01-16,domestic violence
9088,2025-08-25,homicide
9089,2025-03-15,assault
9090,2025-06-16,fraud
9091,2025-03-20,trespassing
9092,2025-05-10,human trafficking
9093,2025-06-17,burglary
9094,2025-08-27,arson
9095,2025-09-18,stalking
9096,2025-05-14,burglary
9097,2025-02-26,money laundering
9098,2025-05-07,terrorism
9099,2025-02-01,stalking
9100,2025-02-25,cybercrime
9101,2025-02-01,embezzlement
9102,2025-11-30,embezzlement
9103,2025-06-05,trespassing
9104,2025-03-07,cybercrime
9105,2025-01-29,arson
9106,2025-09-18,arson
9107,2025-06-25,drug possession
9108,2025-03-07,burglary
9109,2025-05-26,embezzlement
9110,2025-08-05,cybercrime
9111,2025-03-24,assault
9112,2025-12-17,fraud
9113,2025-03-13,drug possession
9114,2025-06-05,stalking
9115,2025-03-09,stalking
9116,2025-01-04,arson
9117,2025-04-25,trespassing
9118,2025-12-14,cybercrime
9119,2025-12-05,assault
9120,2025-01-20,trespassing
9121,2025-01-09,cybercrime
9122,2025-12-15,fraud
9123,2025-01-05,carjacking
9124,2025-11-23,robbery
9125,2025-06-08,money laundering
9126,2025-03-13,carjacking
9127,2025-01-17,cybercrime
9128,2025-05-27,drug possession
9129,2025-03-30,arson
9130,2025-04-06,stalking
9131,2025-01-23,carjacking
9132,2025-09-19,robbery
9133,2025-08-08,burglary
9134,2025-02-11,trespassing
9135,2025-06-02,human trafficking
9136,2025-02-22,trespassing
9137,2025-06-21,carjacking
9138,2025-07-26,fraud
9139,2025-05-16,robbery
9140,2025-11-14,trespassing
9141,2025-10-05,cybercrime
9142,2025-05-09,homicide
9143,2025-08-26,stalking
9144,2025-08-07,embezzlement
9145,2025-04-24,carjacking
9146,2025-04-03,embezzlement
9147,2025-12-02,drug possession
9148,2025-05-22,trespassing
9149,2025-06-26,trespassing
9150,2025-03-01,domestic violence
9151,2025-11-07,money laundering
9152,2025-07-26,embezzlement
9153,2025-06-30,fraud
9154,2025-12-27,arson
9155,2025-07-15,fraud
9156,2025-06-27,human trafficking
