cap,citta,nome,paese
10000,Bologna,Pizzeria,Italia
10001,Venice,Salumeria,Italia
10002,Perugia,Pizzeria,Italia
10003,Turin,Trattoria,Italia
10004,Modena,Pizzeria,Italia
10005,Ravenna,Trattoria,Italia
10006,Modena,Panetteria,Italia
10007,Bari,Salumeria,Italia
10008,Pescara,Trattoria,Italia
10009,Brescia,Salumeria,Italia
10010,Trieste,Trattoria,Italia
10011,Genoa,Panetteria,Italia
10012,Padua,Salumeria,Italia
10013,Palermo,Panetteria,Italia
10014,Brescia,Pizzeria,Italia
10015,Florence,Pizzeria,Italia
10016,Catania,Trattoria,Italia
10017,Palermo,Salumeria,Italia
10018,Brescia,Salumeria,Italia
10019,Verona,Trattoria,Italia
10020,Milan,Enoteca,Italia
10021,Catania,Trattoria,Italia
10022,Trieste,Salumeria,Italia
10023,Catania,Trattoria,Italia
10024,Parma,Gelateria,Italia
10025,Bologna,Enoteca,Italia
10026,Venice,Salumeria,Italia
10027,Turin,Salumeria,Italia
10028,Bari,Pizzeria,Italia
10029,Milan,Trattoria,Italia
10030,Brescia,Panetteria,Italia
10031,Palermo,Trattoria,Italia
10032,Padua,Salumeria,Italia
10033,Genoa,Panetteria,Italia
10034,Modena,Pizzeria,Italia
10035,Bari,Pizzeria,Italia
10036,Palermo,Enoteca,Italia
10037,Parma,Salumeria,Italia
10038,Modena,Salumeria,Italia
10039,Milan,Panetteria,Italia
10040,Florence,Gelateria,Italia
10041,Turin,Pizzeria,Italia
10042,Ravenna,Gelateria,Italia
10043,Perugia,Enoteca,Italia
10044,Venice,Pizzeria,Italia
10045,Brescia,Pizzeria,Italia
10046,Milan,Trattoria,Italia
10047,Milan,Panetteria,Italia
10048,Padua,Salumeria,Italia
10049,Venice,Panetteria,Italia
10050,Perugia,Pizzeria,Italia
10051,Bologna,Salumeria,Italia
10052,Ravenna,Pizzeria,Italia
10053,Modena,Pizzeria,Italia
10054,Turin,Pizzeria,Italia
10055,Parma,Gelateria,Italia
10056,Padua,Trattoria,Italia
10057,Bologna,Enoteca,Italia
10058,Catania,Enoteca,Italia
10059,Rome,Gelateria,Italia
10060,Florence,Salumeria,Italia
10061,Modena,Trattoria,Italia
10062,Pescara,Gelateria,Italia
10063,Brescia,Pizzeria,Italia
10064,Padua,Gelateria,Italia
10065,Brescia,Trattoria,Italia
10066,Pescara,Enoteca,Italia
10067,Naples,Trattoria,Italia
10068,Ravenna,Trattoria,Italia
10069,Trieste,Panetteria,Italia
10070,Bologna,Enoteca,Italia
10071,Turin,Salumeria,Italia
10072,Milan,Pizzeria,Italia
10073,Ravenna,Trattoria,Italia
10074,Parma,Salumeria,Italia
10075,Modena,Trattoria,Italia
10076,Bologna,Pizzeria,Italia
10077,Padua,Pizzeria,Italia
10078,Rome,Panetteria,Italia
10079,Florence,Gelateria,Italia
10080,Genoa,Gelateria,Italia
10081,Bologna,Salumeria,Italia
10082,Turin,Trattoria,Italia
10083,Venice,Salumeria,Italia
10084,Trieste,Gelateria,Italia
10085,Bologna,Salumeria,Italia
10086,Verona,Panetteria,Italia
10087,Venice,Gelateria,Italia
10088,Ravenna,Pizzeria,Italia
10089,Florence,Panetteria,Italia
10090,Ravenna,Panetteria,Italia
10091,Genoa,Trattoria,Italia
10092,Brescia,Enoteca,Italia
10093,Rome,Salumeria,Italia
10094,Catania,Salumeria,Italia
10095,Milan,Salumeria,Italia
10096,Rome,Salumeria,Italia
10097,Parma,Trattoria,Italia
10098,Turin,Trattoria,Italia
10099,Perugia,Pizzeria,Italia
10100,Bologna,Salumeria,Italia
10101,Turin,Panetteria,Italia
10102,Milan,Enoteca,Italia
10103,Palermo,Enoteca,Italia
10104,Parma,Gelateria,Italia
10105,Milan,Enoteca,Italia
10106,Bologna,Trattoria,Italia
10107,Parma,Gelateria,Italia
10108,Bari,Enoteca,Italia
10109,Pescara,Panetteria,Italia
10110,Perugia,Gelateria,Italia
10111,Perugia,Pizzeria,Italia
10112,Catania,Pizzeria,Italia
10113,Pescara,Gelateria,Italia
10114,Brescia,Panetteria,Italia
10115,Modena,Enoteca,Italia
10116,Padua,Pizzeria,Italia
10117,Milan,Trattoria,Italia
10118,Pescara,Enoteca,Italia
10119,Rome,Enoteca,Italia
10120,Pescara,Trattoria,Italia
10121,Florence,Panetteria,Italia
10122,Pescara,Pizzeria,Italia
10123,Brescia,Gelateria,Italia
10124,Perugia,Panetteria,Italia
10125,Perugia,Enoteca,Italia
10126,Bologna,Enoteca,Italia
10127,Modena,Trattoria,Italia
10128,Parma,Trattoria,Italia
10129,Parma,Panetteria,Italia
10130,Modena,Trattoria,Italia
10131,Trieste,Panetteria,Italia
10132,Trieste,Salumeria,Italia
10133,Genoa,Pizzeria,Italia
10134,Trieste,Salumeria,Italia
10135,Palermo,Pizzeria,Italia
10136,Brescia,Salumeria,Italia
10137,Genoa,Gelateria,Italia
