cap,citta,nome,paese
12000,Venice,Enoteca,Italia
12001,Turin,Banca,Italia
12002,Palermo,Pizzeria,Italia
12003,Bologna,Enoteca,Italia
12004,Messina,Pizzeria,Italia
12005,Palermo,Salumeria,Italia
12006,Verona,Banca,Italia
12007,Genoa,Panetteria,Italia
12008,Bologna,Pizzeria,Italia
12009,Messina,Banca,Italia
12010,Venezia,Panetteria,Italia
12011,Messina,Banca,Italia
12012,Turin,Banca,Italia
12013,Palermo,Pizzeria,Italia
12014,Naples,Panetteria,Italia
12015,Verona,Panetteria,Italia
12016,Rome,Enoteca,Italia
12017,Milan,Pizzeria,Italia
12018,Palermo,Trattoria,Italia
12019,Messina,Enoteca,Italia
12020,Naples,Banca,Italia
12021,Florence,Ristorante,Italia
12022,Florence,Enoteca,Italia
12023,Bologna,Enoteca,Italia
12024,Venezia,Enoteca,Italia
12025,Messina,Pizzeria,Italia
12026,Turin,Panetteria,Italia
12027,Genoa,Enoteca,Italia
12028,Genoa,Panetteria,Italia
12029,Palermo,Enoteca,Italia
12030,Turin,Ristorante,Italia
12031,Bologna,Trattoria,Italia
12032,Turin,Trattoria,Italia
12033,Naples,Panetteria,Italia
12034,Naples,Ristorante,Italia
12035,Florence,Panetteria,Italia
12036,Bologna,Enoteca,Italia
12037,Venice,Ristorante,Italia
12038,Verona,Enoteca,Italia
12039,Turin,Panetteria,Italia
12040,Palermo,Banca,Italia
12041,Florence,Trattoria,Italia
12042,Venice,Banca,Italia
12043,Naples,Salumeria,Italia
12044,Naples,Pizzeria,Italia
12045,Messina,Salumeria,Italia
12046,Florence,Salumeria,Italia
12047,Venice,Pizzeria,Italia
12048,Naples,Panetteria,Italia
12049,Turin,Banca,Italia
12050,Messina,Panetteria,Italia
12051,Rome,Banca,Italia
12052,Milan,Salumeria,Italia
12053,Genoa,Banca,Italia
12054,Venezia,Pizzeria,Italia
12055,Turin,Banca,Italia
12056,Venice,Enoteca,Italia
12057,Palermo,Enoteca,Italia
12058,Rome,Banca,Italia
12059,Turin,Panetteria,Italia
12060,Messina,Banca,Italia
12061,Florence,Salumeria,Italia
12062,Florence,Salumeria,Italia
12063,Genoa,Banca,Italia
12064,Turin,Banca,Italia
12065,Naples,Enoteca,Italia
12066,Venice,Enoteca,Italia
12067,Palermo,Trattoria,Italia
12068,Messina,Banca,Italia
12069,Venezia,Salumeria,Italia
12070,Florence,Trattoria,Italia
12071,Rome,Salumeria,Italia
12072,Turin,Pizzeria,Italia
12073,Verona,Banca,Italia
12074,Palermo,Ristorante,Italia
12075,Palermo,Enoteca,Italia
12076,Genoa,Ristorante,Italia
12077,Venezia,Ristorante,Italia
12078,Rome,Banca,Italia
12079,Venezia,Ristorante,Italia
12080,Bologna,Banca,Italia
12081,Palermo,Salumeria,Italia
12082,Messina,Pizzeria,Italia
12083,Messina,Panetteria,Italia
12084,Venice,Ristorante,Italia
12085,Bologna,Ristorante,Italia
12086,Bologna,Enoteca,Italia
12087,Verona,Banca,Italia
12088,Turin,Enoteca,Italia
12089,Venice,Salumeria,Italia
12090,Genoa,Enoteca,Italia
12091,Turin,Ristorante,Italia
12092,Palermo,Pizzeria,Italia
12093,Naples,Pizzeria,Italia
12094,Turin,Enoteca,Italia
12095,Turin,Trattoria,Italia
12096,Naples,Trattoria,Italia
12097,Naples,Pizzeria,Italia
12098,Naples,Salumeria,Italia
12099,Turin,Banca,Italia
12100,Venice,Pizzeria,Italia
12101,Florence,Banca,Italia
12102,Verona,Salumeria,Italia
12103,Genoa,Panetteria,Italia
12104,Bologna,Salumeria,Italia
12105,Florence,Trattoria,Italia
12106,Palermo,Salumeria,Italia
12107,Turin,Enoteca,Italia
12108,Turin,Ristorante,Italia
12109,Venezia,Trattoria,Italia
12110,Bologna,Pizzeria,Italia
12111,Turin,Panetteria,Italia
12112,Bologna,Trattoria,Italia
12113,Naples,Banca,Italia
12114,Verona,Panetteria,Italia
12115,Messina,Panetteria,Italia
12116,Milan,Trattoria,Italia
12117,Messina,Ristorante,Italia
12118,Venice,Ristorante,Italia
12119,Milan,Pizzeria,Italia
12120,Genoa,Enoteca,Italia
12121,Naples,Panetteria,Italia
12122,Verona,Panetteria,Italia
12123,Messina,Panetteria,Italia
12124,Naples,Ristorante,Italia
12125,Rome,Ristorante,Italia
12126,Venezia,Pizzeria,Italia
12127,Genoa,Enoteca,Italia
12128,Bologna,Panetteria,Italia
12129,Venice,Salumeria,Italia
12130,Genoa,Banca,Italia
12131,Naples,Enoteca,Italia
12132,Messina,Banca,Italia
12133,Venice,Enoteca,Italia
12134,Verona,Banca,Italia
12135,Naples,Banca,Italia
12136,Rome,Salumeria,Italia
12137,Palermo,Ristorante,Italia
12138,Rome,Salumeria,Italia
12139,Bologna,Enoteca,Italia
12140,Verona,Trattoria,Italia
12141,Venice,Panetteria,Italia
12142,Milan,Pizzeria,Italia
12143,Rome,Pizzeria,Italia
12144,Florence,Trattoria,Italia
12145,Rome,Panetteria,Italia
12146,Messina,Ristorante,Italia
12147,Naples,Ristorante,Italia
12148,Venezia,Trattoria,Italia
12149,Turin,Enoteca,Italia
12150,Palermo,Trattoria,Italia
12151,Messina,Panetteria,Italia
12152,Bologna,Banca,Italia
12153,Bologna,Pizzeria,Italia
12154,Naples,Ristorante,Italia
12155,Turin,Panetteria,Italia
12156,Verona,Enoteca,Italia
12157,Turin,Pizzeria,Italia
12158,Venezia,Panetteria,Italia
12159,Messina,Banca,Italia
12160,Venice,Pizzeria,Italia
12161,Genoa,Salumeria,Italia
12162,Genoa,Banca,Italia
12163,Bologna,Salumeria,Italia
12164,Naples,Trattoria,Italia
12165,Florence,Ristorante,Italia
12166,Palermo,Trattoria,Italia
12167,Verona,Enoteca,Italia
12168,Venezia,Pizzeria,Italia
12169,Rome,Panetteria,Italia
12170,Verona,Ristorante,Italia
12171,Florence,Enoteca,Italia
12172,Genoa,Panetteria,Italia
12173,Palermo,Trattoria,Italia
12174,Venezia,Ristorante,Italia
12175,Palermo,Pizzeria,Italia
12176,Verona,Enoteca,Italia
12177,Venice,Enoteca,Italia
12178,Messina,Enoteca,Italia
12179,Venezia,Trattoria,Italia
12180,Turin,Ristorante,Italia
12181,Rome,Salumeria,Italia
12182,Venezia,Salumeria,Italia
12183,Milan,Pizzeria,Italia
12184,Venezia,Trattoria,Italia
12185,Milan,Enoteca,Italia
12186,Verona,Trattoria,Italia
12187,Messina,Banca,Italia
12188,Bologna,Enoteca,Italia
12189,Verona,Panetteria,Italia
12190,Turin,Trattoria,Italia
12191,Bologna,Panetteria,Italia
12192,Venice,Pizzeria,Italia
12193,Messina,Enoteca,Italia
12194,Genoa,Salumeria,Italia
12195,Rome,Salumeria,Italia
12196,Venice,Panetteria,Italia
12197,Rome,Ristorante,Italia
12198,Messina,Ristorante,Italia
12199,Bologna,Salumeria,Italia
12200,Milan,Banca,Italia
12201,Rome,Ristorante,Italia
12202,Genoa,Banca,Italia
12203,Bologna,Enoteca,Italia
12204,Venezia,Ristorante,Italia
12205,Palermo,Trattoria,Italia
12206,Milan,Ristorante,Italia
12207,Genoa,Banca,Italia
12208,Venezia,Trattoria,Italia
12209,Genoa,Ristorante,Italia
12210,Genoa,Panetteria,Italia
12211,Palermo,Pizzeria,Italia
12212,Florence,Panetteria,Italia
12213,Turin,Ristorante,Italia
12214,Genoa,Panetteria,Italia
12215,Turin,Enoteca,Italia
12216,Messina,Panetteria,Italia
12217,Naples,Banca,Italia
12218,Venezia,Pizzeria,Italia
12219,Bologna,Panetteria,Italia
12220,Naples,Banca,Italia
12221,Messina,Pizzeria,Italia
12222,Naples,Banca,Italia
12223,Bologna,Salumeria,Italia
12224,Palermo,Pizzeria,Italia
12225,Naples,Trattoria,Italia
