nome,numeroSerie
crowbar,1000
screwdriver,1001
crowbar,1002
phone,1003
knife,1004
mask,1005
rope,1006
crowbar,1007
gun,1008
gun,1009
flashlight,1010
screwdriver,1011
hammer,1012
gun,1013
crowbar,1014
hammer,1015
knife,1016
flashlight,1017
screwdriver,1018
crowbar,1019
phone,1020
rope,1021
flashlight,1022
gun,1023
phone,1024
knife,1025
flashlight,1026
mask,1027
knife,1028
mask,1029
mask,1030
knife,1031
phone,1032
mask,1033
knife,1034
gloves,1035
screwdriver,1036
gloves,1037
rope,1038
gun,1039
rope,1040
flashlight,1041
phone,1042
gloves,1043
knife,1044
hammer,1045
gloves,1046
rope,1047
rope,1048
screwdriver,1049
crowbar,1050
knife,1051
screwdriver,1052
gloves,1053
phone,1054
mask,1055
gun,1056
gun,1057
rope,1058
gun,1059
gun,1060
screwdriver,1061
gloves,1062
gun,1063
screwdriver,1064
flashlight,1065
gloves,1066
hammer,1067
mask,1068
hammer,1069
gun,1070
gun,1071
screwdriver,1072
knife,1073
mask,1074
knife,1075
phone,1076
mask,1077
crowbar,1078
rope,1079
rope,1080
crowbar,1081
gloves,1082
knife,1083
flashlight,1084
hammer,1085
gun,1086
crowbar,1087
gloves,1088
knife,1089
gun,1090
gun,1091
hammer,1092
gun,1093
rope,1094
hammer,1095
knife,1096
flashlight,1097
gloves,1098
gloves,1099
screwdriver,1100
mask,1101
knife,1102
gun,1103
gloves,1104
rope,1105
flashlight,1106
knife,1107
gun,1108
flashlight,1109
mask,1110
gun,1111
flashlight,1112
gloves,1113
knife,1114
crowbar,1115
flashlight,1116
mask,1117
phone,1118
phone,1119
rope,1120
phone,1121
gloves,1122
phone,1123
mask,1124
phone,1125
knife,1126
screwdriver,1127
knife,1128
knife,1129
crowbar,1130
phone,1131
crowbar,1132
screwdriver,1133
crowbar,1134
flashlight,1135
mask,1136
hammer,1137
rope,1138
mask,1139
crowbar,1140
knife,1141
flashlight,1142
phone,1143
phone,1144
mask,1145
screwdriver,1146
rope,1147
knife,1148
hammer,1149
knife,1150
gloves,1151
phone,1152
screwdriver,1153
mask,1154
phone,1155
knife,1156
knife,1157
hammer,1158
screwdriver,1159
flashlight,1160
knife,1161
mask,1162
flashlight,1163
flashlight,1164
knife,1165
phone,1166
phone,1167
knife,1168
gloves,1169
hammer,1170
gun,1171
knife,1172
screwdriver,1173
gun,1174
crowbar,1175
hammer,1176
gloves,1177
flashlight,1178
hammer,1179
crowbar,1180
gloves,1181
rope,1182
crowbar,1183
screwdriver,1184
flashlight,1185
gloves,1186
screwdriver,1187
mask,1188
gloves,1189
crowbar,1190
rope,1191
screwdriver,1192
hammer,1193
rope,1194
hammer,1195
phone,1196
crowbar,1197
phone,1198
screwdriver,1199
phone,1200
mask,1201
rope,1202
phone,1203
screwdriver,1204
screwdriver,1205
flashlight,1206
hammer,1207
gun,1208
mask,1209
knife,1210
crowbar,1211
crowbar,1212
knife,1213
knife,1214
knife,1215
screwdriver,1216
hammer,1217
rope,1218
mask,1219
phone,1220
crowbar,1221
crowbar,1222
phone,1223
hammer,1224
mask,1225
crowbar,1226
rope,1227
hammer,1228
crowbar,1229
screwdriver,1230
hammer,1231
crowbar,1232
phone,1233
phone,1234
gun,1235
rope,1236
gun,1237
phone,1238
gun,1239
flashlight,1240
gun,1241
gun,1242
crowbar,1243
screwdriver,1244
knife,1245
screwdriver,1246
gloves,1247
gun,1248
hammer,1249
screwdriver,1250
crowbar,1251
flashlight,1252
gun,1253
knife,1254
gloves,1255
gloves,1256
hammer,1257
rope,1258
knife,1259
flashlight,1260
mask,1261
flashlight,1262
screwdriver,1263
crowbar,1264
phone,1265
mask,1266
phone,1267
gun,1268
flashlight,1269
phone,1270
rope,1271
flashlight,1272
gun,1273
crowbar,1274
mask,1275
knife,1276
flashlight,1277
gun,1278
rope,1279
gloves,1280
phone,1281
crowbar,1282
hammer,1283
crowbar,1284
mask,1285
mask,1286
mask,1287
gloves,1288
rope,1289
screwdriver,1290
flashlight,1291
gloves,1292
phone,1293
screwdriver,1294
hammer,1295
flashlight,1296
gun,1297
gloves,1298
rope,1299
gun,1300
gloves,1301
rope,1302
rope,1303
rope,1304
knife,1305
hammer,1306
screwdriver,1307
hammer,1308
hammer,1309
hammer,1310
mask,1311
hammer,1312
mask,1313
gun,1314
gun,1315
crowbar,1316
mask,1317
gun,1318
hammer,1319
hammer,1320
gloves,1321
rope,1322
flashlight,1323
crowbar,1324
mask,1325
screwdriver,1326
gun,1327
flashlight,1328
rope,1329
gloves,1330
gloves,1331
screwdriver,1332
rope,1333
hammer,1334
hammer,1335
rope,1336
rope,1337
mask,1338
rope,1339
screwdriver,1340
mask,1341
phone,1342
hammer,1343
gloves,1344
hammer,1345
flashlight,1346
phone,1347
flashlight,1348
screwdriver,1349
mask,1350
flashlight,1351
flashlight,1352
rope,1353
hammer,1354
gloves,1355
crowbar,1356
gloves,1357
crowbar,1358
gun,1359
knife,1360
rope,1361
rope,1362
phone,1363
flashlight,1364
phone,1365
knife,1366
mask,1367
knife,1368
gun,1369
flashlight,1370
mask,1371
gloves,1372
screwdriver,1373
knife,1374
crowbar,1375
mask,1376
crowbar,1377
knife,1378
crowbar,1379
mask,1380
crowbar,1381
knife,1382
rope,1383
mask,1384
mask,1385
flashlight,1386
gun,1387
hammer,1388
knife,1389
rope,1390
flashlight,1391
gun,1392
rope,1393
screwdriver,1394
crowbar,1395
hammer,1396
hammer,1397
rope,1398
mask,1399
flashlight,1400
mask,1401
knife,1402
mask,1403
gloves,1404
screwdriver,1405
gloves,1406
gun,1407
screwdriver,1408
crowbar,1409
gloves,1410
flashlight,1411
flashlight,1412
gloves,1413
gloves,1414
gloves,1415
flashlight,1416
screwdriver,1417
crowbar,1418
hammer,1419
hammer,1420
phone,1421
gun,1422
hammer,1423
phone,1424
knife,1425
hammer,1426
phone,1427
rope,1428
knife,1429
mask,1430
rope,1431
phone,1432
mask,1433
gun,1434
flashlight,1435
hammer,1436
mask,1437
screwdriver,1438
gloves,1439
rope,1440
crowbar,1441
phone,1442
phone,1443
rope,1444
screwdriver,1445
hammer,1446
gun,1447
rope,1448
phone,1449
flashlight,1450
screwdriver,1451
phone,1452
knife,1453
mask,1454
gloves,1455
gun,1456
screwdriver,1457
mask,1458
rope,1459
hammer,1460
hammer,1461
flashlight,1462
gloves,1463
mask,1464
rope,1465
gloves,1466
hammer,1467
mask,1468
crowbar,1469
hammer,1470
gloves,1471
flashlight,1472
gun,1473
mask,1474
mask,1475
knife,1476
knife,1477
knife,1478
hammer,1479
flashlight,1480
phone,1481
gun,1482
screwdriver,1483
gloves,1484
knife,1485
gloves,1486
gloves,1487
mask,1488
screwdriver,1489
mask,1490
phone,1491
mask,1492
rope,1493
hammer,1494
crowbar,1495
mask,1496
gun,1497
crowbar,1498
screwdriver,1499
mask,1500
phone,1501
crowbar,1502
knife,1503
rope,1504
rope,1505
screwdriver,1506
gun,1507
crowbar,1508
gloves,1509
gun,1510
phone,1511
rope,1512
gloves,1513
mask,1514
screwdriver,1515
crowbar,1516
knife,1517
gun,1518
rope,1519
gloves,1520
phone,1521
flashlight,1522
gun,1523
crowbar,1524
gloves,1525
hammer,1526
hammer,1527
flashlight,1528
knife,1529
hammer,1530
crowbar,1531
rope,1532
gun,1533
gun,1534
flashlight,1535
screwdriver,1536
flashlight,1537
rope,1538
gloves,1539
knife,1540
gloves,1541
knife,1542
gloves,1543
hammer,1544
knife,1545
hammer,1546
gloves,1547
gloves,1548
crowbar,1549
flashlight,1550
gun,1551
gloves,1552
gun,1553
gun,1554
hammer,1555
phone,1556
mask,1557
gun,1558
hammer,1559
screwdriver,1560
mask,1561
mask,1562
crowbar,1563
gloves,1564
hammer,1565
gloves,1566
screwdriver,1567
hammer,1568
gloves,1569
mask,1570
gloves,1571
mask,1572
mask,1573
crowbar,1574
phone,1575
phone,1576
rope,1577
flashlight,1578
knife,1579
phone,1580
hammer,1581
rope,1582
screwdriver,1583
mask,1584
knife,1585
crowbar,1586
crowbar,1587
crowbar,1588
phone,1589
knife,1590
gun,1591
mask,1592
gloves,1593
hammer,1594
phone,1595
hammer,1596
gun,1597
screwdriver,1598
gun,1599
hammer,1600
mask,1601
rope,1602
crowbar,1603
knife,1604
rope,1605
hammer,1606
crowbar,1607
rope,1608
crowbar,1609
phone,1610
hammer,1611
gloves,1612
phone,1613
flashlight,1614
gun,1615
phone,1616
phone,1617
gun,1618
hammer,1619
mask,1620
hammer,1621
gun,1622
mask,1623
gloves,1624
screwdriver,1625
knife,1626
knife,1627
screwdriver,1628
rope,1629
crowbar,1630
flashlight,1631
flashlight,1632
phone,1633
hammer,1634
gloves,1635
phone,1636
phone,1637
phone,1638
gloves,1639
screwdriver,1640
screwdriver,1641
screwdriver,1642
phone,1643
gloves,1644
gloves,1645
phone,1646
rope,1647
hammer,1648
gun,1649
knife,1650
phone,1651
phone,1652
gloves,1653
gun,1654
gun,1655
hammer,1656
crowbar,1657
hammer,1658
hammer,1659
screwdriver,1660
knife,1661
rope,1662
mask,1663
rope,1664
hammer,1665
rope,1666
rope,1667
gloves,1668
knife,1669
rope,1670
gloves,1671
knife,1672
knife,1673
mask,1674
gloves,1675
phone,1676
phone,1677
screwdriver,1678
screwdriver,1679
knife,1680
screwdriver,1681
hammer,1682
phone,1683
knife,1684
gloves,1685
phone,1686
gloves,1687
phone,1688
flashlight,1689
mask,1690
gloves,1691
phone,1692
gloves,1693
gloves,1694
rope,1695
crowbar,1696
knife,1697
knife,1698
knife,1699
crowbar,1700
flashlight,1701
mask,1702
knife,1703
gun,1704
flashlight,1705
knife,1706
screwdriver,1707
hammer,1708
gloves,1709
crowbar,1710
crowbar,1711
knife,1712
rope,1713
gun,1714
mask,1715
gloves,1716
flashlight,1717
screwdriver,1718
knife,1719
knife,1720
phone,1721
knife,1722
flashlight,1723
flashlight,1724
gloves,1725
flashlight,1726
gun,1727
gloves,1728
rope,1729
hammer,1730
phone,1731
phone,1732
mask,1733
knife,1734
screwdriver,1735
mask,1736
rope,1737
gun,1738
crowbar,1739
mask,1740
gloves,1741
mask,1742
hammer,1743
crowbar,1744
gloves,1745
mask,1746
mask,1747
knife,1748
phone,1749
gun,1750
mask,1751
crowbar,1752
knife,1753
flashlight,1754
gloves,1755
gloves,1756
knife,1757
crowbar,1758
mask,1759
knife,1760
flashlight,1761
gloves,1762
mask,1763
mask,1764
rope,1765
gun,1766
knife,1767
hammer,1768
hammer,1769
mask,1770
hammer,1771
mask,1772
flashlight,1773
gloves,1774
mask,1775
screwdriver,1776
gloves,1777
flashlight,1778
hammer,1779
flashlight,1780
hammer,1781
flashlight,1782
mask,1783
mask,1784
hammer,1785
rope,1786
knife,1787
flashlight,1788
gun,1789
gun,1790
screwdriver,1791
mask,1792
phone,1793
flashlight,1794
rope,1795
crowbar,1796
hammer,1797
crowbar,1798
screwdriver,1799
flashlight,1800
phone,1801
mask,1802
screwdriver,1803
mask,1804
mask,1805
phone,1806
phone,1807
phone,1808
hammer,1809
gun,1810
gloves,1811
gloves,1812
rope,1813
screwdriver,1814
gun,1815
phone,1816
mask,1817
rope,1818
knife,1819
gloves,1820
crowbar,1821
rope,1822
screwdriver,1823
gun,1824
knife,1825
gun,1826
mask,1827
rope,1828
rope,1829
hammer,1830
flashlight,1831
knife,1832
gun,1833
knife,1834
crowbar,1835
mask,1836
screwdriver,1837
phone,1838
phone,1839
knife,1840
hammer,1841
hammer,1842
gun,1843
crowbar,1844
screwdriver,1845
phone,1846
gloves,1847
knife,1848
rope,1849
crowbar,1850
gun,1851
rope,1852
flashlight,1853
gun,1854
phone,1855
crowbar,1856
rope,1857
screwdriver,1858
phone,1859
hammer,1860
gloves,1861
crowbar,1862
knife,1863
hammer,1864
flashlight,1865
knife,1866
rope,1867
hammer,1868
crowbar,1869
crowbar,1870
gloves,1871
phone,1872
knife,1873
knife,1874
knife,1875
flashlight,1876
phone,1877
rope,1878
flashlight,1879
crowbar,1880
mask,1881
mask,1882
rope,1883
gun,1884
phone,1885
flashlight,1886
gun,1887
phone,1888
mask,1889
crowbar,1890
rope,1891
hammer,1892
gun,1893
crowbar,1894
screwdriver,1895
rope,1896
knife,1897
knife,1898
hammer,1899
gun,1900
rope,1901
gun,1902
gloves,1903
screwdriver,1904
mask,1905
gun,1906
gun,1907
gloves,1908
crowbar,1909
phone,1910
gloves,1911
flashlight,1912
phone,1913
gun,1914
crowbar,1915
gun,1916
flashlight,1917
flashlight,1918
gloves,1919
mask,1920
gloves,1921
phone,1922
crowbar,1923
screwdriver,1924
crowbar,1925
phone,1926
knife,1927
gloves,1928
crowbar,1929
rope,1930
phone,1931
knife,1932
crowbar,1933
hammer,1934
flashlight,1935
mask,1936
hammer,1937
gloves,1938
screwdriver,1939
knife,1940
screwdriver,1941
crowbar,1942
screwdriver,1943
rope,1944
knife,1945
flashlight,1946
crowbar,1947
phone,1948
hammer,1949
rope,1950
gun,1951
screwdriver,1952
crowbar,1953
phone,1954
mask,1955
screwdriver,1956
mask,1957
flashlight,1958
gloves,1959
mask,1960
crowbar,1961
mask,1962
flashlight,1963
gun,1964
gloves,1965
hammer,1966
rope,1967
phone,1968
rope,1969
gun,1970
phone,1971
flashlight,1972
screwdriver,1973
mask,1974
mask,1975
gloves,1976
screwdriver,1977
knife,1978
